City,Pcount
" Albany, NY, US",36
" Amsterdam, Netherlands",50
" Arlington, TX, US",13
" Auburn, WA, US",36
" Barcelona, Spain",4
" Boone, NC, US",2
" Boston, MA, US",14
" Buenos Aires, Argentina",8
" Cape Town, South Africa",42
" Copenhagen, Denmark",18
" Dallas, TX, US",14
" Fort Lauderdale, FL, US",2
" Glasgow, UK",26
" Herne Hill, UK",3
" Highland Heights, KY, US",8
" Houston, TX, US",1
" Incheon, Korea, Republic Of",36
" Johannesburg, South Africa",8
" Kent, WA, US",2
" Krakow, Poland",6
" Las Vegas, NV, US",51
" Ledyard, CT, US",1
" Manchester, UK",15
" Miami, FL, US",8
" Napa, CA, US",2
" New Orleans, LA, US",2
" New York, NY, US",1
" Niigata, Japan",1
" Phoenix, AZ, US",23
" Ridgefield, WA, US",9
" Saalburg, Germany",4
" Salvador, Brazil",36
" San Jose, CA, US",4
" Schijndel, Netherlands",14
" Shakopee, MN, US",1
" Silver Spring, MD, US",16
" Singapore, Singapore",5
" Stuttgart, Germany",5
" Valinhos, Brazil",8
" Vienna, Austria",36
" Washington, DC, US",1
" Wellington, New Zealand",1
" West Palm Beach, FL, US",4
" Zermatt, Switzerland",6
